birmingham,charlotte,cincinnati,charleston,colorado springs,columbia,columbus,dallas,greensboro,houston,indianapolis,kansas-city,las-vegas,memphis,minneapolis,nashville,phoenix,raleigh,reno,salt-lake,st-louis,tucson,winston-salem
35277,28247,45106,,,,43299,75146,,77099,,64742,,,55303,,85340,,,,62269,,
35266,28274,45157,,,,43291,75082,,77201,,64734,,,55304,,85374,,,,62273,,
35279,28280,45107,,,,43194,75159,,77301,,64725,,,55305,,85248,,,,62275,,
35278,28230,45122,,,,43055,75225,,77302,,64746,,,55306,,85213,,,,62277,,
35281,28266,45176,,,,43068,75253,,77303,,64739,,,55307,,85286,,,,62278,,
35280,28284,45130,,,,43062,75134,,77304,,64147,,,55308,,85382,,,,62279,,
35283,28285,45120,,,,43054,75116,,77306,,64090,,,55309,,85310,,,,62281,,
35282,28282,45162,,,,43056,75236,,77316,,64743,,,55311,,85085,,,,62282,,
35286,28288,45153,,,,43023,75237,,77318,,64118,,,55313,,85193,,,,62284,,
35285,28297,45147,,,,43031,75039,,77327,,64068,,,55314,,85255,,,,62285,,
35288,28299,45160,,,,43076,75137,,77328,,64119,,,55315,,85268,,,,62289,,
35287,28281,45145,,,,43011,75203,,77336,,64155,,,55316,,85083,,,,62293,,
35290,28271,45158,,,,43025,75233,,77338,,64024,,,55317,,85234,,,,62294,,
35289,28256,45112,,,,43830,75215,,77339,,64060,,,55318,,85086,,,,62295,,
35292,28219,45156,,,,43080,75223,,77345,,64116,,,55319,,85207,,,,62298,,
35291,28613,45140,,,,43822,75235,,77346,,64117,,,55320,,85388,,,,62355,,
35294,28682,45238,,,,43046,75249,,77354,,64157,,,55321,,85296,,,,62366,,
35293,28673,45231,,,,43001,75201,,77355,,64089,,,55322,,85119,,,,62560,,
35296,28086,45211,,,,43071,75001,,77356,,64156,,,55327,,85295,,,,62572,,
35295,,45215,,,,43739,75209,,77357,,64062,,,55328,,85355,,,,62626,,
35298,,45230,,,,43746,75244,,77362,,64158,,,55330,,85249,,,,62630,,
35297,,45239,,,,43008,75182,,77365,,64048,,,55331,,85331,,,,62638,,
35299,,45244,,,,43013,75054,,77372,,64492,,,55334,,85142,,,,62640,,
35173,,45240,,,,43033,75210,,77373,,64161,,,55335,,85297,,,,62649,,
35094,,45236,,,,43069,75207,,77375,,64165,,,55336,,85194,,,,62667,,
35120,,45248,,,,43098,75125,,77377,,64166,,,55337,,85139,,,,62672,,
35128,,45241,,,,43018,75141,,77378,,64167,,,55338,,85140,,,,62674,,
35125,,45247,,,,43027,75226,,77379,,64069,,,55339,,85045,,,,62685,,
35004,,45251,,,,43030,75202,,77380,,64073,,,55340,,85387,,,,62690,,
35953,,45212,,,,43058,75247,,77381,,64087,,,55341,,85739,,,,62801,,
35131,,45242,,,,43073,75172,,77382,,64144,,,55343,,85212,,,,62875,,
35178,,45255,,,,43721,75246,,77384,,64188,,,55344,,85266,,,,62882,,
35987,,45237,,,,43740,75251,,77385,,64162,,,55345,,85262,,,,63010,,
35135,,45224,,,,43093,75398,,77386,,64072,,,55346,,85087,,,,63012,,
35972,,45030,,,,43119,75261,,77388,,64429,,,55347,,85118,,,,63013,,
35052,,45227,,,,43140,75037,,77389,,64062,,,55349,,85383,,,,63014,,
35112,,45208,,,,43064,75245,,77396,,64465,,,55352,,85264,,,,63015,,
35182,,45205,,,,43162,75258,,77401,,64477,,,55356,,85298,,,,63016,,
35242,,45233,,,,43143,75286,,77406,,64048,,,55357,,85132,,,,63019,,
35244,,45220,,,,43044,75310,,77407,,64454,,,55358,,85377,,,,63020,,
35007,,45219,,,,43153,75323,,77423,,64490,,,55359,,85145,,,,63023,,
35124,,45202,,,,43029,75387,,77429,,64492,,,55360,,85172,,,,63025,,
35080,,45243,,,,43151,75334,,77433,,64474,,,55362,,85191,,,,63026,,
35115,,45246,,,,43113,75340,,77441,,64493,,,55363,,85372,,,,63028,,
35094,,45002,,,,43146,75343,,77447,,64133,,,55364,,85063,,,,63037,,
35040,,45229,,,,43125,75344,,77449,,64055,,,55366,,85060,,,,63039,,
35051,,45249,,,,43103,75011,,77450,,64015,,,55367,,85061,,,,63041,,
35043,,45223,,,,43143,75015,,77459,,64138,,,55368,,85376,,,,63047,,
35147,,45213,,,,43137,75014,,77469,,64030,,,55369,,85380,,,,63048,,
35114,,45209,,,,45644,75017,,77471,,64086,,,55371,,85066,,,,63049,,
35186,,45206,,,,43135,75016,,77477,,64114,,,55372,,85064,,,,63050,,
35178,,45216,,,,43154,75030,,77478,,64081,,,55373,,85067,,,,63051,,
35143,,45225,,,,43145,75045,,77479,,64131,,,55374,,85068,,,,63052,,
35078,,45214,,,,43164,75047,,77489,,64134,,,55375,,85385,,,,63053,,
35176,,45232,,,,43115,75046,,77493,,64050,,,55376,,85070,,,,63055,,
35137,,45207,,,,43217,75049,,77494,,64029,,,55378,,85071,,,,63056,,
35144,,45217,,,,43116,75053,,77498,,64014,,,55379,,85069,,,,63057,,
35185,,45204,,,,43117,75085,,77502,,64130,,,55382,,85074,,,,63060,,
35187,,45226,,,,43156,75083,,77503,,64052,,,55384,,85078,,,,63061,,
35238,,45252,,,,,75099,,77504,,64063,,,55385,,85076,,,,63068,,
,,45052,,,,,75106,,77505,,64111,,,55386,,85079,,,,63069,,
,,45218,,,,,75123,,77506,,64056,,,55387,,85080,,,,63070,,
,,45174,,,,,75138,,77507,,64064,,,55388,,85082,,,,63072,,
,,45203,,,,,75185,,77510,,64110,,,55390,,85127,,,,63073,,
,,45001,,,,,75187,,77511,,64127,,,55391,,85121,,,,63077,,
,,45111,,,,,75221,,77517,,64132,,,55395,,85130,,,,63079,,
,,45228,,,,,75222,,77518,,64057,,,55396,,85002,,,,63080,,
,,45051,,,,,75239,,77520,,64082,,,55397,,85147,,,,63084,,
,,45033,,,,,75242,,77521,,64075,,,55398,,85178,,,,63087,,
,,45041,,,,,75250,,77523,,64113,,,55401,,85005,,,,63089,,
,,45201,,,,,75260,,77530,,64137,,,55402,,85010,,,,63090,,
,,45210,,,,,75263,,77532,,64128,,,55403,,85011,,,,63091,,
,,45222,,,,,75262,,77536,,64124,,,55404,,85211,,,,63101,,
,,45221,,,,,75265,,77539,,64123,,,55405,,85214,,,,63102,,
,,45234,,,,,75264,,77545,,64109,,,55406,,85246,,,,63103,,
,,45235,,,,,75267,,77546,,64108,,,55407,,85236,,,,63104,,
,,45250,,,,,75266,,77547,,64106,,,55408,,85252,,,,63105,,
,,45254,,,,,75275,,77562,,64112,,,55409,,85001,,,,63106,,
,,45253,,,,,75270,,77563,,64129,,,55410,,85261,,,,63107,,
,,45258,,,,,75283,,77565,,64034,,,55411,,85269,,,,63108,,
